name,clade,class
DNA8-19_DR,Merlin,DNA transposon
DNA8-24_DR,hAT,DNA transposon
DNA8-3_DR,hAT,DNA transposon
DNA8-4A_DR,hAT,DNA transposon
DNA8-4B_DR,hAT,DNA transposon
DNA8-4C_DR,hAT,DNA transposon
DNA8-4_DR,hAT,DNA transposon
DNA8-7_DR,hAT,DNA transposon
DNA8-9_DR,hAT,DNA transposon
EnSpm-10N1_DR,EnSpm/CACTA,DNA transposon
EnSpm-10_DR,EnSpm/CACTA,DNA transposon
EnSpm-11_DR,EnSpm/CACTA,DNA transposon
EnSpm-12_DR,EnSpm/CACTA,DNA transposon
EnSpm-13_DR,EnSpm/CACTA,DNA transposon
EnSpm-14N1_DR,EnSpm/CACTA,DNA transposon
EnSpm-14_DR,EnSpm/CACTA,DNA transposon
EnSpm-15_DR,EnSpm/CACTA,DNA transposon
EnSpm-16_DR,EnSpm/CACTA,DNA transposon
EnSpm-17_DR,EnSpm/CACTA,DNA transposon
EnSpm-18_DR,EnSpm/CACTA,DNA transposon
EnSpm-19_DR,EnSpm/CACTA,DNA transposon
EnSpm-20_DR,EnSpm/CACTA,DNA transposon
ENSPM-2N_DR,EnSpm/CACTA,DNA transposon
EnSpm-2_DR,EnSpm/CACTA,DNA transposon
EnSpm-3N1_DR,EnSpm/CACTA,DNA transposon
EnSpm-3_DR,EnSpm/CACTA,DNA transposon
EnSpm-4N1_DR,EnSpm/CACTA,DNA transposon
EnSpm-4N2_DR,EnSpm/CACTA,DNA transposon
EnSpm-4N3_DR,EnSpm/CACTA,DNA transposon
EnSpm-4_DR,EnSpm/CACTA,DNA transposon
EnSpm-5_DR,EnSpm/CACTA,DNA transposon
EnSpm-6N1_DR,EnSpm/CACTA,DNA transposon
ENSPM-6_DR,EnSpm/CACTA,DNA transposon
EnSpm-7_DR,EnSpm/CACTA,DNA transposon
EnSpm-8_DR,EnSpm/CACTA,DNA transposon
EnSpm-9_DR,EnSpm/CACTA,DNA transposon
EnSpm-N10_DR,EnSpm/CACTA,DNA transposon
EnSpm-N11_DR,EnSpm/CACTA,DNA transposon
EnSpm-N12_DR,EnSpm/CACTA,DNA transposon
EnSpm-N13_DR,EnSpm/CACTA,DNA transposon
EnSpm-N14B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N14_DR,EnSpm/CACTA,DNA transposon
EnSpm-N15_DR,EnSpm/CACTA,DNA transposon
EnSpm-N16_DR,EnSpm/CACTA,DNA transposon
EnSpm-N17_DR,EnSpm/CACTA,DNA transposon
EnSpm-N18_DR,EnSpm/CACTA,DNA transposon
EnSpm-N19_DR,EnSpm/CACTA,DNA transposon
EnSpm-N1_DR,EnSpm/CACTA,DNA transposon
EnSpm-N20_DR,EnSpm/CACTA,DNA transposon
EnSpm-N21_DR,EnSpm/CACTA,DNA transposon
EnSpm-N22_DR,EnSpm/CACTA,DNA transposon
EnSpm-N23_DR,EnSpm/CACTA,DNA transposon
EnSpm-N24_DR,EnSpm/CACTA,DNA transposon
EnSpm-N25_DR,EnSpm/CACTA,DNA transposon
EnSpm-N26B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N26_DR,EnSpm/CACTA,DNA transposon
EnSpm-N27B_DR,EnSpm/CACTA,DNA transposon
EnSpm-N27_DR,EnSpm/CACTA,DNA transposon
EnSpm-N28_DR,EnSpm/CACTA,DNA transposon
