name,class,clade
Copia-5_AT-LTR,Copia,LTR Retrotransposon
Copia-6_AT-I,Copia,LTR Retrotransposon
Copia-6_AT-LTR,Copia,LTR Retrotransposon
Copia-7_AT-I,Copia,LTR Retrotransposon
Copia-7_AT-LTR,Copia,LTR Retrotransposon
Copia-8_AT-I,Copia,LTR Retrotransposon
Copia-8_AT-LTR,Copia,LTR Retrotransposon
Copia-9_AT-I,Copia,LTR Retrotransposon
Copia-9_AT-LTR,Copia,LTR Retrotransposon
DNA-1_AT,other,other
DNA-2_AT,other,other
DNA3-1_AT,other,other
DNA3-2_AT,other,other
DNA3-3_AT,other,other
DNA3-4_AT,other,other
DNA3-5_AT,other,other
DNA3-8_AT,other,other
DNA9-1_AT,other,other
DNA9-2_AT,other,other
DT1,Mariner/Tc1,DNA transposon
ENDOVIR1LTR,Copia,LTR Retrotransposon
ENDOVIR1_I,Copia,LTR Retrotransposon
EnSpm-1_AT,EnSpm/CACTA,DNA transposon
EnSpm-2_AT,EnSpm/CACTA,DNA transposon
EnSpm-3_AT,EnSpm/CACTA,DNA transposon
EnSpm-4_AT,EnSpm/CACTA,DNA transposon
EnSpm-5_AT,EnSpm/CACTA,DNA transposon
EnSpm-6_AT,EnSpm/CACTA,DNA transposon
